sekolah_id,siap_id,nama,npsn,is_negeri,is_sbi,k_kota,k_propinsi,kota,propinsi,kompetensi,enable,jml_pagu,jml_luar
22010136,20103519,SMP NEGERI 135,20103519,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010137,20106716,SMP NEGERI 136,20106716,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,51,0
22010138,20100228,SMP NEGERI 137,20100228,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,38,0
22010139,20103518,SMP NEGERI 138,20103518,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,57,0
22010140,20103517,SMP NEGERI 139,20103517,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010141,20100762,SMP NEGERI 140,20100762,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,38,0
22010142,20102505,SMP NEGERI 141,20102505,true,true,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,38,0
22010143,20101564,SMP NEGERI 142,20101564,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010144,20100763,SMP NEGERI 143,20100763,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,50,0
22010145,20103515,SMP NEGERI 144,20103515,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010146,20102504,SMP NEGERI 145,20102504,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,45,0
22010147,20103514,SMP NEGERI 146,20103514,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010148,20103513,SMP NEGERI 147,20103513,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,57,0
22010149,20103512,SMP NEGERI 148,20103512,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,39,0
22010150,20103511,SMP NEGERI 149,20103511,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010151,20103510,SMP NEGERI 150,20103510,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010152,20100764,SMP NEGERI 151,20100764,true,true,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,49,0
22010153,20100765,SMP NEGERI 152,20100765,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,26,0
22010154,20102502,SMP NEGERI 153,20102502,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,45,0
22010155,20102501,SMP NEGERI 154,20102501,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,39,0
22010156,20102500,SMP NEGERI 155,20102500,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,32,0
22010157,20100230,SMP NEGERI 156,20100230,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,44,0
22010158,20103509,SMP NEGERI 157,20103509,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,57,0
22010159,20103489,SMP NEGERI 158,20103489,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010160,20101576,SMP NEGERI 159,20101576,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,39,0
22010161,20103564,SMP NEGERI 160,20103564,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010162,20102499,SMP NEGERI 161,20102499,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,57,0
22010163,20100766,SMP NEGERI 162,20100766,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,51,0
22010164,20102498,SMP NEGERI 163,20102498,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010165,20102511,SMP NEGERI 164,20102511,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,49,0
22010166,20103639,SMP NEGERI 165,20103639,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,39,0
